folder,L,D,rotor_z,ground_z,load,type,center_x,center_y
case_100,1.00,1.00,2.00,0.00,153.22,T,0.0,0.0
case_125,1.25,1.00,2.00,0.00,153.22,T,0.0,0.0
case_150,1.50,1.00,2.00,0.00,153.22,V,0.0,0.0
